idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
1870	0.97885716	0.97	0.9762	0.9714286	0.96933335	0.9708	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 1.0, 0.9942029, 0.8938053, 0.8324176]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8819876, 0.8014706]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 1.0, 0.996, 0.89, 0.824]	1.639144	0.04245764
1880	0.98057145	0.97466666	0.9788	0.9728571	0.9673333	0.9712	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.9026549, 0.83516484]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.863354, 0.8014706]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.998, 0.89, 0.826]	1.5746508	0.042158782
1890	0.98057145	0.978	0.9798	0.97085714	0.96533334	0.9692	[1.0, 1.0, 0.9742857, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.9026549, 0.8406593]	[1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.88819873, 0.8014706]	[1.0, 1.0, 0.97, 1.0, 1.0, 1.0, 0.998, 0.996, 0.898, 0.83]	1.6211243	0.05861795
1900	0.98485714	0.97933334	0.9832	0.9742857	0.9713333	0.9734	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.9056047, 0.85164833]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.88819873, 0.8235294]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.996, 0.9, 0.844]	1.5777206	0.04621613
1910	0.9754286	0.974	0.975	0.9745714	0.97533333	0.9748	[1.0, 1.0, 0.9885714, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.9557522, 0.8131868]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.7867647]	[1.0, 1.0, 0.992, 1.0, 1.0, 1.0, 0.998, 0.998, 0.954, 0.806]	1.5118408	0.03981906
1920	0.9745714	0.9726667	0.974	0.9685714	0.96133333	0.9664	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8879056, 0.80494505]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8447205, 0.75735295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 1.0, 1.0, 0.874, 0.792]	1.512434	0.044100344
1930	0.97342855	0.9726667	0.9732	0.9737143	0.9713333	0.973	[1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.9616519, 0.80494505]	[1.0, 1.0, 0.97333336, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.77205884]	[1.0, 1.0, 0.978, 1.0, 1.0, 1.0, 0.998, 1.0, 0.958, 0.796]	1.4886646	0.04213828
1940	0.98657143	0.982	0.9852	0.97085714	0.966	0.9694	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.8761062, 0.84615386]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.83229816, 0.8308824]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.862, 0.842]	1.485506	0.048652768
1950	0.97742856	0.97533333	0.9768	0.97257143	0.9726667	0.9726	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.9292035, 0.8131868]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9254658, 0.7867647]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.998, 0.928, 0.806]	1.4776726	0.03846979
1960	0.9854286	0.97933334	0.9836	0.9728571	0.96533334	0.9706	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.8938053, 0.84615386]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8447205, 0.8014706]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.998, 0.878, 0.834]	1.4480686	0.043228805
